model,mean_score,std_score,scores
tfidf_lemma,1.8,1.1661903789690604,"4,2,1,1,1"
tfidf_stem,1.8,1.1661903789690604,"4,2,1,1,1"
lemma_sg0_vs300_w4,3.0,0.0,"3,3,3,3,3"
lemma_sg0_vs300_w2,3.0,0.0,"3,3,3,3,3"
lemma_sg0_vs100_w4,3.0,0.0,"3,3,3,3,3"
lemma_sg0_vs100_w2,3.0,0.0,"3,3,3,3,3"
lemma_sg1_vs300_w4,2.8,0.39999999999999997,"3,3,3,3,2"
lemma_sg1_vs300_w2,3.0,0.0,"3,3,3,3,3"
lemma_sg1_vs100_w4,2.8,0.39999999999999997,"3,3,3,3,2"
lemma_sg1_vs100_w2,3.0,0.0,"3,3,3,3,3"
stem_sg0_vs300_w4,3.0,0.0,"3,3,3,3,3"
stem_sg0_vs300_w2,3.0,0.0,"3,3,3,3,3"
stem_sg0_vs100_w4,3.0,0.0,"3,3,3,3,3"
stem_sg0_vs100_w2,3.0,0.0,"3,3,3,3,3"
stem_sg1_vs300_w4,2.8,0.39999999999999997,"3,3,3,3,2"
stem_sg1_vs300_w2,3.0,0.0,"3,3,3,3,3"
stem_sg1_vs100_w4,2.8,0.39999999999999997,"3,3,3,3,2"
stem_sg1_vs100_w2,3.0,0.0,"3,3,3,3,3"
