type,preprocessing,score,algorithm,vector_size,window
tfidf,lemma,1.8,,,
tfidf,stem,1.8,,,
word2vec,lemma,3.0,CBOW,300.0,4.0
word2vec,lemma,3.0,CBOW,300.0,2.0
word2vec,lemma,3.0,CBOW,100.0,4.0
word2vec,lemma,3.0,CBOW,100.0,2.0
word2vec,lemma,2.8,Skip-gram,300.0,4.0
word2vec,lemma,3.0,Skip-gram,300.0,2.0
word2vec,lemma,2.8,Skip-gram,100.0,4.0
word2vec,lemma,3.0,Skip-gram,100.0,2.0
word2vec,stem,3.0,CBOW,300.0,4.0
word2vec,stem,3.0,CBOW,300.0,2.0
word2vec,stem,3.0,CBOW,100.0,4.0
word2vec,stem,3.0,CBOW,100.0,2.0
word2vec,stem,2.8,Skip-gram,300.0,4.0
word2vec,stem,3.0,Skip-gram,300.0,2.0
word2vec,stem,2.8,Skip-gram,100.0,4.0
word2vec,stem,3.0,Skip-gram,100.0,2.0
